frase,situacao
sinto dor no peito e falta de ar desde cedo,alto risco
"estou com aperto no peito, suor frio e tontura",alto risco
tive desmaio rápido e agora estou muito fraco,alto risco
"minha pressão parece baixa, estou pálido e quase desmaiei",alto risco
falta de ar intensa mesmo parado e chiado no peito,alto risco
tenho palpitações fortes com tontura e visão escurecendo,alto risco
"estou com febre alta, confusão e muito cansaço",alto risco
notei fraqueza em um lado do corpo e fala enrolada,alto risco
sangramento intenso que não para desde a manhã,alto risco
dor forte na barriga com vômitos persistentes e suor frio,alto risco
não consigo respirar bem e meus lábios ficaram arroxeados,alto risco
estou com dor no peito que piora ao subir escadas,alto risco
dor de cabeça súbita muito forte com náusea e visão turva,alto risco
"fiquei muito sonolento, confuso e com dificuldade para acordar",alto risco
"falta de ar, febre e dor para respirar profundamente",alto risco
tenho dor no peito irradiando para o braço esquerdo,alto risco
estou vomitando sem parar e não consigo beber água,alto risco
tive convulsão e ainda estou desorientado,alto risco
"meu coração disparou, suei frio e quase caí no chão",alto risco
estou com tosse e grande dificuldade para respirar desde ontem,alto risco
a perna inchou de repente e agora sinto falta de ar,alto risco
dor opressiva no tórax com enjoo e mal-estar,alto risco
tenho febre alta com rigidez na nuca e muita dor,alto risco
sinto falta de ar ao falar frases curtas,alto risco
tive um leve incômodo nas costas após dormir mal,baixo risco
estou com dor muscular no ombro depois de carregar peso,baixo risco
"sinto coriza e espirros desde ontem, mas consigo trabalhar",baixo risco
estou com garganta irritada e tosse leve,baixo risco
tenho dor de cabeça leve por causa de pouco sono,baixo risco
estou com nariz entupido e mal-estar leve,baixo risco
senti azia depois do jantar e um pouco de enjoo,baixo risco
tenho coceira nos olhos e espirros por causa da poeira,baixo risco
estou com cansaço leve depois de alguns dias dormindo mal,baixo risco
apareceu uma dor leve no joelho depois da caminhada,baixo risco
tenho desconforto no estômago e gases após comer rápido,baixo risco
estou rouco e com irritação na garganta desde a manhã,baixo risco
sinto uma fisgada leve no pescoço quando viro a cabeça,baixo risco
"estou com tosse seca leve, sem febre e sem falta de ar",baixo risco
tenho dor lombar leve ao ficar muito tempo sentado,baixo risco
"senti um pouco de tontura quando levantei rápido, mas passou",baixo risco
estou com pele ressecada e coceira leve nas mãos,baixo risco
tenho mal-estar leve e temperatura baixa no fim do dia,baixo risco
estou com prisão de ventre e desconforto abdominal leve,baixo risco
sinto ardor nasal e espirros por causa do ar seco,baixo risco
estou com enjoo leve durante viagens de carro,baixo risco
tenho uma dor leve no pé depois de usar sapato apertado,baixo risco
sinto leve pressão na testa por causa da sinusite,baixo risco
estou com pequeno desconforto muscular após exercício,baixo risco
